,DAY,Time,SUBJECT,Batch,Room no.
,WEDNESDAY,05:45,ADV. ACC,Batch_5,5
,WEDNESDAY,05:45,FINAL SCM,Batch_5,8
,THURSDAY,06:30,FR,Batch_1,"2,6"
,THURSDAY,06:30,INT ADV AC,Batch_1,5
,THURSDAY,06:30,FINAL DT,Batch_1,1
,THURSDAY,06:30,FINAL SFM,Batch_1,3
,THURSDAY,09:40,INT AC RT,Batch_2,3
,THURSDAY,09:40,SSC,Batch_2,6
,THURSDAY,10:00,FOUNDATION,Batch_2,4
,THURSDAY,09:40,INT AUDIT,Batch_2,2
,THURSDAY,12:00,EIS/SM,Batch_3,2
,THURSDAY,12:00,FOUNDATION,Batch_3,4
,THURSDAY,12:00,SSC,Batch_3,6
,THURSDAY,12:40,INT DT RT,Batch_3,7
,THURSDAY,02:30,INTER ADV AC,Batch_4,2
,THURSDAY,03:15,INTER LAW RT,Batch_4,7
,THURSDAY,05:45,FINAL FR,Batch_5,3
,THURSDAY,05:30,FINAL IDT,Batch_5,7
,THURSDAY,05:45,FINAL AUDIT,Batch_5,4
,THURSDAY,05:45,FINAL DT RT,Batch_5,6
,THURSDAY,05:45,FINAL SCM,Batch_5,8
,THURSDAY,05:45,ADV. ACC,Batch_5,5
